epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.437,1.02695,2.78729,1.13066,0.55262,0.14746,0.24248,0.20092,0.6768,2.85874,1.01903,0.000362454,0.000362454,0.000362454
2,676.184,1.01286,2.05611,1.10993,0.46547,0.52351,0.49099,0.37107,0.76985,1.97728,1.07903,0.000718278,0.000718278,0.000718278
3,1035.46,1.01953,1.7053,1.10602,0.58917,0.47206,0.54835,0.40979,0.76023,1.89949,1.08086,0.00105944,0.00105944,0.00105944
4,1365.7,1.02547,1.67486,1.12502,0.57904,0.49298,0.54445,0.38875,0.80449,2.32013,1.15013,0.00104501,0.00104501,0.00104501
5,1690.04,1.03525,1.53776,1.10058,0.50018,0.66963,0.57785,0.40319,0.76698,1.99229,1.09994,0.00102301,0.00102301,0.00102301
6,1972.46,0.97735,1.41544,1.10465,0.62855,0.55532,0.60506,0.39467,0.80781,1.86229,1.10844,0.00100101,0.00100101,0.00100101
7,2271.02,0.97307,1.35146,1.09167,0.66196,0.71993,0.76375,0.56442,0.68451,1.59556,1.02887,0.000979013,0.000979013,0.000979013
8,2573.15,0.97692,1.26066,1.06909,0.69909,0.70903,0.76452,0.56482,0.71044,1.35199,1.03756,0.000957015,0.000957015,0.000957015
9,2871.46,0.94266,1.12193,1.05923,0.71842,0.7372,0.78768,0.56729,0.68697,1.23041,1.01541,0.000935018,0.000935018,0.000935018
10,3179.85,0.93301,1.1626,1.07072,0.72664,0.74625,0.78555,0.54884,0.73299,1.38212,1.04954,0.00091302,0.00091302,0.00091302
11,3452.36,0.91581,1.07269,1.0694,0.71346,0.68953,0.75726,0.56435,0.69513,1.1192,1.03571,0.000891022,0.000891022,0.000891022
12,3732.15,0.91613,1.05428,1.05399,0.65983,0.63614,0.6959,0.51237,0.69117,1.31855,1.026,0.000869024,0.000869024,0.000869024
13,3998.19,0.88421,0.96906,1.04961,0.70996,0.7241,0.7679,0.58079,0.65317,1.01963,0.99407,0.000847026,0.000847026,0.000847026
14,4262.02,0.91061,0.99181,1.0648,0.74242,0.80101,0.83265,0.60687,0.65953,0.96035,1.00106,0.000825029,0.000825029,0.000825029
15,4526.9,0.91117,1.01209,1.06511,0.76265,0.77606,0.83075,0.63351,0.65481,0.80623,1.00693,0.000803031,0.000803031,0.000803031
16,4792.64,0.86504,0.95946,1.04127,0.76781,0.78947,0.84256,0.63072,0.68318,0.94656,1.01978,0.000781033,0.000781033,0.000781033
17,5056.57,0.88561,0.91496,1.05265,0.69848,0.75912,0.81539,0.60657,0.66151,0.88833,1.00757,0.000759035,0.000759035,0.000759035
18,5321.15,0.88925,0.85566,1.04733,0.8314,0.7998,0.88148,0.66931,0.6233,0.72561,0.97495,0.000737037,0.000737037,0.000737037
19,5585.51,0.86614,0.81749,1.02983,0.78048,0.77634,0.84845,0.64949,0.63636,0.74212,0.97444,0.00071504,0.00071504,0.00071504
