epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,5846.83,0.83822,0.83907,1.03469,0.84106,0.81325,0.90181,0.69134,0.63819,0.66119,0.98293,0.000693042,0.000693042,0.000693042
21,6109.88,0.83937,0.81314,1.03851,0.79959,0.80688,0.85373,0.65361,0.6311,0.67836,0.98639,0.000671044,0.000671044,0.000671044
22,6374.44,0.83919,0.78305,1.02186,0.79333,0.80072,0.86113,0.66287,0.60897,0.67014,0.96724,0.000649046,0.000649046,0.000649046
23,6637.6,0.8314,0.78318,1.03355,0.81329,0.79621,0.86565,0.66398,0.59387,0.63689,0.96186,0.000627048,0.000627048,0.000627048
24,6898.71,0.84365,0.78401,1.02424,0.78303,0.80501,0.85895,0.66597,0.59127,0.66685,0.9619,0.000605051,0.000605051,0.000605051
25,7162.88,0.83376,0.76076,1.0128,0.80177,0.83774,0.88533,0.66819,0.61136,0.64186,0.96839,0.000583053,0.000583053,0.000583053
26,7427.88,0.83229,0.73573,1.00731,0.80082,0.84188,0.88957,0.68554,0.59639,0.58337,0.95558,0.000561055,0.000561055,0.000561055
27,7692.97,0.82515,0.71459,1.00989,0.77963,0.87339,0.91348,0.70318,0.59888,0.55361,0.95827,0.000539057,0.000539057,0.000539057
28,7960.26,0.82719,0.69638,1.01834,0.78354,0.85728,0.89536,0.69573,0.58016,0.54265,0.94489,0.000517059,0.000517059,0.000517059
29,8222.62,0.81329,0.67061,1.00761,0.84037,0.86127,0.91451,0.70509,0.60052,0.53419,0.95386,0.000495062,0.000495062,0.000495062
30,8486.97,0.80083,0.68567,1.01362,0.82683,0.82799,0.89964,0.6978,0.59392,0.5457,0.95469,0.000473064,0.000473064,0.000473064
31,8751.4,0.79987,0.66661,1.0043,0.85997,0.82294,0.91354,0.71133,0.60179,0.50805,0.95734,0.000451066,0.000451066,0.000451066
32,9017.75,0.81216,0.64547,1.00735,0.86446,0.85132,0.92866,0.72583,0.60013,0.49301,0.95406,0.000429068,0.000429068,0.000429068
33,9280.15,0.78267,0.61327,0.99712,0.85273,0.84004,0.9224,0.72078,0.57802,0.49341,0.94536,0.00040707,0.00040707,0.00040707
34,9545.77,0.80068,0.62117,0.9964,0.84852,0.87072,0.93553,0.73241,0.59404,0.47791,0.95027,0.000385073,0.000385073,0.000385073
35,9811.71,0.78678,0.59347,0.97842,0.85104,0.85375,0.92657,0.72417,0.59592,0.51953,0.95746,0.000363075,0.000363075,0.000363075
36,10076,0.76265,0.59175,0.98112,0.82622,0.88227,0.92828,0.71834,0.59291,0.47792,0.95388,0.000341077,0.000341077,0.000341077
37,10342.6,0.78165,0.60901,0.98038,0.84608,0.88196,0.93606,0.72264,0.59431,0.47126,0.95364,0.000319079,0.000319079,0.000319079
38,10605.6,0.73777,0.57495,0.98031,0.84926,0.84917,0.92939,0.72819,0.5718,0.46407,0.94217,0.000297081,0.000297081,0.000297081
39,10870.6,0.78189,0.56668,1.00088,0.85732,0.85339,0.9323,0.7351,0.57462,0.44891,0.94101,0.000275084,0.000275084,0.000275084
40,11140.3,0.75211,0.58159,0.97142,0.84543,0.87552,0.93269,0.74278,0.54805,0.44293,0.92967,0.000253086,0.000253086,0.000253086
41,11401.9,0.68314,0.53298,0.92637,0.82864,0.85954,0.91431,0.71889,0.56836,0.4737,0.93582,0.000231088,0.000231088,0.000231088
42,11662.9,0.65273,0.52332,0.92354,0.85274,0.85793,0.9285,0.73233,0.59681,0.47802,0.95798,0.00020909,0.00020909,0.00020909
43,11924.9,0.69263,0.5216,0.92653,0.83823,0.88914,0.93546,0.73705,0.56394,0.43853,0.93313,0.000187092,0.000187092,0.000187092
44,12186.2,0.68739,0.50587,0.93291,0.84669,0.8809,0.93697,0.73335,0.56223,0.44293,0.93286,0.000165095,0.000165095,0.000165095
45,12448,0.69015,0.49593,0.92806,0.84878,0.87745,0.93874,0.74855,0.55877,0.42694,0.93056,0.000143097,0.000143097,0.000143097
46,12710.3,0.68155,0.49567,0.92107,0.85131,0.87388,0.93124,0.74252,0.55689,0.42667,0.92869,0.000121099,0.000121099,0.000121099
47,12976.4,0.66272,0.47567,0.92584,0.8568,0.87373,0.93641,0.7443,0.55823,0.42411,0.93134,9.91012e-05,9.91012e-05,9.91012e-05
48,13238.2,0.6567,0.48008,0.91187,0.8337,0.8886,0.93381,0.74653,0.55102,0.41922,0.92729,7.71034e-05,7.71034e-05,7.71034e-05
49,13498.3,0.66329,0.47366,0.91456,0.84654,0.88247,0.93601,0.74572,0.55192,0.41839,0.92891,5.51056e-05,5.51056e-05,5.51056e-05
50,13759.4,0.64641,0.46285,0.91412,0.85805,0.86924,0.9351,0.74658,0.5551,0.41182,0.92978,3.31078e-05,3.31078e-05,3.31078e-05
